STD_CONC,REP_1,REP_2,REP_3
0,0.104196694,0.10268803,0.102254232
62.5,0.133361926,0.130844193,0.13326643
125,0.160111573,0.166578173,0.168708791
250,0.235926764,0.248666172,0.213292884
500,0.317804942,0.338832558,0.319193429
750,0.489027278,0.50270243,0.455944077
1000,0.582686444,0.588765454,0.588868194
1500,0.766482437,0.822056012,0.806399114
