SAMPLE,REP_1,REP_2,REP_3
GFP_POS_1,0.327970642,0.323041071,0.324839007
GFP_NEG_1,0.361117704,0.351208836,0.355722304
GFP_POS_2,0.248693957,0.259303413,0.254818146
GFP_NEG_2,0.295796391,0.298904349,0.319955945
GFP_POS_3,0.307847607,0.296823842,0.301452265
GFP_NEG_3,0.315496892,0.328137424,0.319654614
