"Sample","Concentration","Unit"
"J14",209.24,"ng/uL"
"J18",160.05,"ng/uL"
"J58",355.93,"ng/uL"
"H36",259.29,"ng/uL"
"H18",226.67,"ng/uL"
"NT1",278.54,"ng/uL"
"NT2",231.57,"ng/uL"
"NT3",363.4,"ng/uL"
"NT4",225.72,"ng/uL"
"NT6",274.88,"ng/uL"
"NT7",259.76,"ng/uL"
