SAMPLE,REP_1,REP_2,REP_3
J44,0.24734233,0.244039811,0.210668125
J57,0.270176753,0.279701125,0.257924375
H62,0.221948696,0.227779422,0.211033068
NT9,0.266570671,0.277914908,0.266594666
NT12,0.292788337,0.304302794,0.276744539
