STD_CONC,REP_1,REP_2,REP_3
0,0.099814733,0.097994208,0.098619004
62.5,0.143902533,0.130244881,0.120789893
125,0.176816196,0.196487482,0.153866424
250,0.315788978,0.24552794,0.198956725
500,0.348275885,0.349741958,0.32577729
750,0.531905982,0.506467851,0.453727928
1000,0.715954498,0.723297837,0.539090526
1500,0.750066412,0.870029407,0.850620052
