STD_CONC,REP_1,REP_2,REP_3
0,0.104255207,0.105742448,0.104898961
62.5,0.13638586,0.137506695,0.139728711
125,0.176556641,0.176099377,0.17967691
250,0.281699453,0.276212425,0.27363998
500,0.384163562,0.390180413,0.394688972
750,0.494369664,0.546438317,0.552434738
1000,0.653433366,0.649818086,0.618601169
1500,0.909090032,0.854433208,0.829432048
