SAMPLE,REP_1,REP_2,REP_3
P5C2,0.327901048,0.323342422,0.268203036
P6C2,0.403696775,0.340547479,0.27184809
P7C8,0.295071147,0.300219543,0.284665095
P10C4,0.314147559,0.313138069,0.291428918
